artist_id,site
https://www.discogs.com/artist/251846-Alice-In-Chains,http://www.aliceinchains.com/ ; http://en.wikipedia.org/wiki/Alice_In_Chains ; https://www.facebook.com/aliceinchains ; https://www.instagram.com/aliceinchains ; https://genius.com/artists/Alice-in-chains ; http://www.filmo.gs/credit/245193-alice-in-chains ; https://twitter.com/AliceInChains ; https://www.youtube.com/user/aliceinchainsvids ; https://www.bookogs.com/credit/272480-alice-in-chains
https://www.discogs.com/artist/912451-Miroslav-Ilić,http://en.wikipedia.org/wiki/Miroslav_Ilić
https://www.discogs.com/artist/963634-Boris-Kovač,http://www.boriskovac.net/
https://www.discogs.com/artist/553431-Vlatko-Stefanovski,http://www.vlatkostefanovski.com.mk/
https://www.discogs.com/artist/1127963-Đogani,https://www.facebook.com/Djoganifans ; https://www.youtube.com/user/djoganifantastico
https://www.discogs.com/artist/891392-Aleksandar-Kobac,http://en.wikipedia.org/wiki/Aleksandar_Kobac
https://www.discogs.com/artist/1791268-Romana-Panić,https://www.facebook.com/romana.panic/ ; https://www.youtube.com/user/RomanaPanic/videos ; https://www.instagram.com/romana_panic/
https://www.discogs.com/artist/1103609-Atelje-Trag,http://www.ateljetrag.com/ ; http://www.facebook.com/ateljetrag
https://www.discogs.com/artist/837314-Aleksandra-Radović,http://myspace.com/aleksandraradovic
https://www.discogs.com/artist/1147389-Zorana-Pavić,http://zh-cn.facebook.com/pages/Zorana-Pavic/276974081167?v=info&ref=share
https://www.discogs.com/artist/1624354-Mirko-Gavrić,http://www.facebook.com/MirkoGavricMiracoI ; http://twitter.com/miracoofficial
https://www.discogs.com/artist/1108137-Andrej-Andrejević,http://www.andreyartstudio.com/
https://www.discogs.com/artist/473482-Željko-Joksimović,http://www.zeljkojoksimovic.com/ ; https://www.facebook.com/joksimoviczeljko ; http://twitter.com/zzeljko
https://www.discogs.com/artist/3653211-Emir-Habibović,http://www.emirhabibovic.com/srpski ; https://www.facebook.com/pages/EMIR-Oficijalna-stranica/1425715844324420
https://www.discogs.com/artist/1330443-Gorica-Ponjavić,http://myspace.com/goricaonline
https://www.discogs.com/artist/788620-Alek-Aleksov,https://www.facebook.com/alek.aleksov.5
https://www.discogs.com/artist/788612-Aleksandar-Filipović,https://web.facebook.com/aleksandar.filipovic.503
https://www.discogs.com/artist/1855078-Vladimir-Graić,http://www.graic.com/
https://www.discogs.com/artist/837311-Vladan-Vučković,http://www.vladanvuckovic.info/
