artist_id,credits,vocals,site,arranged_by_cnt,lyrics_by_cnt,music_by_cnt
https://www.discogs.com/artist/697703-Ognjan-Radivojević,148,6,http://www.ogiradivojevic.com/,3,0,0
https://www.discogs.com/artist/874421-Vlada-Golubović,49,2,--,3,0,0
https://www.discogs.com/artist/192609-Goran-Bregović,600,8,http://www.goranbregovic.rs ; http://www.famouscomposers.net/goran-bregovic ; http://www.facebook.com/goranbregovic ; http://soundcloud.com/goranbregovic ; http://en.wikipedia.org/wiki/Goran_Bregovi%C4%87 ; https://www.bookogs.com/credit/262644-goran-bregovic,3,6,6
https://www.discogs.com/artist/931180-Boban-Prodanović,84,0,--,3,0,2
https://www.discogs.com/artist/452166-Laza-Ristovski,333,0,--,3,0,1
https://www.discogs.com/artist/931174-Novica-Nikolić-Patalo,193,0,--,3,0,0
https://www.discogs.com/artist/773166-Nenad-Milosavljević,99,18,--,3,0,2
https://www.discogs.com/artist/886074-Aleksandar-Sedlar,121,6,--,3,0,0
https://www.discogs.com/artist/1018517-Južni-Vetar,217,0,--,3,0,0
https://www.discogs.com/artist/1013101-Slavko-Stefanović,163,13,http://www.slavkoni.com/,3,0,3
https://www.discogs.com/artist/504779-Momčilo-Bajagić,265,28,http://www.bajaga.com/ ; https://www.facebook.com/bajaga.official.page/ ; https://www.youtube.com/user/BajagaiInstruktori ; https://twitter.com/BajagaOfficial ; https://www.instagram.com/bajagaiinstruktoriofficial/,3,2,1
https://www.discogs.com/artist/1013104-Zoran-Marjanović,44,1,--,3,0,4
https://www.discogs.com/artist/255101-Wikluh-Sky,90,24,http://myspace.com/skywikluh ; http://www.skywikluh.com/,3,3,2
https://www.discogs.com/artist/1013349-Siniša-Tufegdžić,103,1,--,2,0,0
https://www.discogs.com/artist/1403588-Milan-Rađen,49,3,--,2,0,0
https://www.discogs.com/artist/970266-Silvio-Pasarić,111,4,--,2,0,0
https://www.discogs.com/artist/1403121-Selam-Katana-Cici,28,0,--,2,0,0
https://www.discogs.com/artist/1811155-Damir-Handanović,314,25,http://www.dhmusic.rs/ ; http://www.facebook.com/pages/DAMIR-HANDANOVIC/49933028354 ; http://www.twitter.com/DamirHandanovic ; http://www.youtube.com/dhmusicteam,2,0,0
https://www.discogs.com/artist/1268750-Biljana-Todorovski,13,4,--,2,0,2
https://www.discogs.com/artist/2559532-Zoran-Kostić-2,36,2,--,2,0,0
https://www.discogs.com/artist/3623764-Darkos-2,1,0,--,2,0,0
https://www.discogs.com/artist/738452-Nebojša-Zulfikarpašić-Keba,83,4,--,2,0,0
https://www.discogs.com/artist/1814445-Goran-Gluhaković,24,3,--,2,2,2
https://www.discogs.com/artist/604219-Remi-Kazinoti,238,2,--,2,0,0
https://www.discogs.com/artist/645590-Dragan-Mitrić,66,4,--,2,1,1
https://www.discogs.com/artist/611912-Haustor,18,2,--,2,0,0
https://www.discogs.com/artist/833039-Edin-Karamazov,37,0,--,2,0,0
https://www.discogs.com/artist/812400-Maja-Cvetković,19,5,--,2,0,2
https://www.discogs.com/artist/895165-Jovan-Haim,26,0,--,2,0,0
https://www.discogs.com/artist/1093339-Nebojša-Arežina,61,1,--,2,0,3
https://www.discogs.com/artist/568262-Sanja-Ilić,336,5,http://www.sanjailic.yuonline.net/,2,2,2
https://www.discogs.com/artist/1146815-Aleksandar-Banjac,60,0,--,2,1,1
https://www.discogs.com/artist/6010115-Francuz-5,7,1,--,2,0,3
