,songs_id,song_name,counts,album_id,album_name,format,country,year,genre,style
19,1b3dff0b-64e9-498e-8686-99458830806d,Ovih Dana,2,https://www.discogs.com/Various-100-Balade-Vol-2/release/8419741,100% Balade Vol. 2,CD;Compilation,Serbia,2004,Pop,Ballad
20,e7cbe48f-1309-4ab0-aaaa-6d0fcc0d2228,Гладуши,2,https://www.discogs.com/%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B8-%D0%95%D0%B2%D0%BE-%D0%92%D0%B0%D0%BC-%D0%93%D0%B0/master/599011,Ево Вам Га,--,--,2000,Rock,Punk;Oi
21,e7cbe48f-1309-4ab0-aaaa-6d0fcc0d2228,Гладуши,2,https://www.discogs.com/%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B8-%D0%95%D0%B2%D0%BE-%D0%92%D0%B0%D0%BC-%D0%93%D0%B0/release/4924084,Ево Вам Га,CD;Album,Serbia,2000,Rock,Punk;Oi
22,9a089737-9ae9-4b06-ab90-04bc7b7bb7a0,Lick It Up,2,https://www.discogs.com/Kiss-Firehouse-Rock-The-Nation/release/3140220,Firehouse - Rock The Nation,DVD;DVD-Video;PAL,Serbia,2007,Rock,Classic Rock;Hard Rock
23,9a089737-9ae9-4b06-ab90-04bc7b7bb7a0,Lick It Up,2,https://www.discogs.com/Kiss-Firehouse-Rock-The-Nation/master/684092,Firehouse - Rock The Nation,--,--,2007,Rock,Classic Rock;Hard Rock
24,cb3bbcde-190f-4826-95c1-4dedbc378c53,Za Dobre I Loše Dane,2,https://www.discogs.com/Nina-The-Best-Of-Nina/release/7637464,The Best Of Nina,CD;Compilation,Serbia,2004,Electronic;Funk / Soul;Pop,Europop;Euro House;Rhythm & Blues
25,cb3bbcde-190f-4826-95c1-4dedbc378c53,Za Dobre I Loše Dane,2,https://www.discogs.com/Nina-The-Best-Of-Nina/master/903760,The Best Of Nina,--,--,2004,Electronic;Funk / Soul;Pop,Europop;Euro House;Rhythm & Blues
26,9a0291df-6245-439d-a55f-64deb21330a8,Crveno Svetlo,2,https://www.discogs.com/Indexi-Na%C5%A1e-Doba/release/5129197,Naše Doba,CD;Compilation,Serbia,2007,Rock;Pop,Prog Rock;Pop Rock
27,9a0291df-6245-439d-a55f-64deb21330a8,Crveno Svetlo,2,https://www.discogs.com/Indexi-Na%C5%A1e-Doba/master/726353,Naše Doba,--,--,2007,Rock;Pop,Prog Rock;Pop Rock
28,723379e2-918e-49ed-ad84-d86686c20f87,Od Kad S Tobom Ne Spavam,2,https://www.discogs.com/Neda-Ukraden-Da-Se-Na%C4%91emo-Na-Pola-Puta/release/4166149,Da Se Nađemo Na Pola Puta,CD;Album,Serbia,2009,"Pop;Folk, World, & Country",Folk
29,723379e2-918e-49ed-ad84-d86686c20f87,Od Kad S Tobom Ne Spavam,2,https://www.discogs.com/Neda-Ukraden-Da-Se-Na%C4%91emo-Na-Pola-Puta/master/523544,Da Se Nađemo Na Pola Puta,--,--,2009,"Pop;Folk, World, & Country",Folk
30,590bee3c-f616-4aa2-b773-1dce4b8981e5,She's Leaving Home,2,https://www.discogs.com/Various-Muzika-Za-Putovanja/release/5733169,Muzika Za Putovanja,CD5×;Compilation,Serbia,2008,Jazz;Latin;Funk / Soul;Pop;Classical;Stage & Screen,Instrumental;Score;Smooth Jazz;Vocal;Soundtrack;Modern;Soul;Latin Jazz;Ballad;Chanson;Schlager;Neo-Classical;Funk;Cool Jazz;Easy Listening
31,590bee3c-f616-4aa2-b773-1dce4b8981e5,She's Leaving Home,2,https://www.discogs.com/Various-Muzika-Za-Putovanja/master/1222786,Muzika Za Putovanja,--,--,2008,Jazz;Latin;Funk / Soul;Pop;Classical;Stage & Screen,Instrumental;Score;Smooth Jazz;Vocal;Soundtrack;Modern;Soul;Latin Jazz;Ballad;Chanson;Schlager;Neo-Classical;Funk;Cool Jazz;Easy Listening
32,1b377a60-75f3-4f0e-b26d-56751312544b,Messiah Of Blood,2,https://www.discogs.com/Infest-Onward-To-Destroy/release/3151498,Onward To Destroy,CD;Album,Serbia,2009,Rock,Death Metal;Thrash
33,1b377a60-75f3-4f0e-b26d-56751312544b,Messiah Of Blood,2,https://www.discogs.com/Infest-Onward-To-Destroy/master/494788,Onward To Destroy,--,--,2009,Rock,Death Metal;Thrash
34,cb5b450b-8eb4-43e8-bad7-66ded33e1085,Električni Orgazam,2,https://www.discogs.com/Elektri%C4%8Dni-Orgazam-Breskve-U-Te%C5%A1kom-Sirupu-Vol-1/release/1433159,Breskve U Teškom Sirupu Vol. 1,CD;Compilation,Serbia,2006,Rock,New Wave;Punk
35,cb5b450b-8eb4-43e8-bad7-66ded33e1085,Električni Orgazam,2,https://www.discogs.com/Elektri%C4%8Dni-Orgazam-Breskve-U-Te%C5%A1kom-Sirupu-Vol-1/master/802804,Breskve U Teškom Sirupu Vol. 1,--,--,2006,Rock,New Wave;Punk
36,1b003454-4889-4578-9843-409f7e77056a,Ostali Smo Sami,2,https://www.discogs.com/Bisera-Prozor/master/627544,Prozor,--,--,2007,Pop,Chanson;Ballad;Schlager
37,1b003454-4889-4578-9843-409f7e77056a,Ostali Smo Sami,2,https://www.discogs.com/Bisera-Prozor/release/2704099,Prozor,CD3×;Album;Compilation,Serbia,2007,Pop,Chanson;Ballad;Schlager
38,1b5960a2-aa89-402a-bdb5-a079c65ffd56,Sudbina,2,https://www.discogs.com/Dragana-Mirkovi%C4%87-Eksplozija/release/2758923,Eksplozija,CD;DVD;Album;DVD-Video,Serbia,2008,"Folk, World, & Country",Folk
39,1b5960a2-aa89-402a-bdb5-a079c65ffd56,Sudbina,2,https://www.discogs.com/Dragana-Mirkovi%C4%87-Eksplozija/master/604167,Eksplozija,--,--,2008,"Folk, World, & Country",Folk
40,3a75362a-7ee3-47f1-b011-8637f77489c4,Zemljo Moja,2,https://www.discogs.com/%C5%A0aban-%C5%A0auli%C4%87-The-Best-Of/master/972898,The Best Of,--,--,2008,"Electronic;Latin;Pop;Folk, World, & Country",Euro House;Downtempo;Salsa;Vocal;Ballad;Folk
41,3a75362a-7ee3-47f1-b011-8637f77489c4,Zemljo Moja,2,https://www.discogs.com/%C5%A0aban-%C5%A0auli%C4%87-The-Best-Of/release/1914931,The Best Of,CD2×;Compilation;,Serbia,2008,"Electronic;Latin;Pop;Folk, World, & Country",Euro House;Downtempo;Salsa;Vocal;Ballad;Folk
42,59470803-3e7b-4dba-8df1-de21407dabc9,Nevreme,2,https://www.discogs.com/Naser-Naser/release/7162416,Naser,CD;Album;Stereo,Serbia,2008,"Folk, World, & Country",Folk
43,59470803-3e7b-4dba-8df1-de21407dabc9,Nevreme,2,https://www.discogs.com/Naser-Naser/master/903338,Naser,--,--,2008,"Folk, World, & Country",Folk
44,71ea969f-42a9-424b-9692-39a9ed4e0a53,Još Te Koštam,2,https://www.discogs.com/Romana-Best-Of-Romana-Old-New/master/1540041,Best Of Romana - Old & New,--,--,2006,Pop,Europop
45,71ea969f-42a9-424b-9692-39a9ed4e0a53,Još Te Koštam,2,https://www.discogs.com/Romana-Best-Of-Romana-Old-New/release/2240921,Best Of Romana - Old & New,CD;Album;Compilation,Serbia,2006,Pop,Europop
46,71f0efb0-9689-40b6-a5e7-e6077f12da28,Sa Mnom Spavaš Njega Sanjaš,2,https://www.discogs.com/%C5%A0aban-%C5%A0auli%C4%87-The-Best-Of/master/972898,The Best Of,--,--,2008,"Electronic;Latin;Pop;Folk, World, & Country",Euro House;Downtempo;Salsa;Vocal;Ballad;Folk
